Date,Total
4/1/2021,83943
4/2/2021,83901
4/3/2021,84284
4/4/2021,84150
4/5/2021,84434
4/6/2021,84969
4/7/2021,85215
4/8/2021,85480
4/9/2021,85725
4/10/2021,85971
4/11/2021,86047
4/12/2021,86218
4/13/2021,86588
4/14/2021,86836
4/15/2021,87076
4/16/2021,87210
4/17/2021,87410
4/18/2021,87652
4/19/2021,87842
4/20/2021,88248
4/21/2021,88477
4/22/2021,88735
4/23/2021,88961
4/24/2021,89013
4/25/2021,89135
4/26/2021,89433
4/27/2021,89655
4/28/2021,89872
4/29/2021,90044
4/30/2021,90226
5/1/2021,90120
5/2/2021,89969
5/3/2021,90568
5/4/2021,90717
5/5/2021,90983
5/6/2021,91092
5/7/2021,91248
5/8/2021,91308
5/9/2021,90857
5/10/2021,91519
5/11/2021,91644
5/12/2021,91767
5/13/2021,91458
5/14/2021,91300
5/15/2021,91442
5/16/2021,90295
5/17/2021,91809
5/18/2021,92084
5/19/2021,91846
5/20/2021,91711
5/21/2021,91556
5/22/2021,91114
5/23/2021,88181
5/24/2021,89257
5/25/2021,90886
5/26/2021,90926
5/27/2021,89877
5/28/2021,90554
5/29/2021,89324
5/30/2021,85940
5/31/2021,86937
6/1/2021,89642
6/2/2021,88554
6/3/2021,86945
6/4/2021,87351
6/5/2021,85775
6/6/2021,79200
6/7/2021,83583
6/8/2021,87125
6/9/2021,83040
6/10/2021,84115
6/11/2021,80758
6/12/2021,74464
6/13/2021,69456
6/14/2021,77309
6/15/2021,76448
6/16/2021,73044
6/17/2021,73383
6/18/2021,69766
6/19/2021,67270
6/20/2021,61372
6/21/2021,70243
6/22/2021,72778
6/23/2021,67009
6/24/2021,65394
6/25/2021,64222
6/26/2021,60361
6/27/2021,56896
6/28/2021,63608
6/29/2021,63097
6/30/2021,68028
7/1/2021,65571
7/2/2021,61696
7/3/2021,59681
7/4/2021,58808
7/5/2021,67769
7/6/2021,69975
7/7/2021,71917
7/8/2021,70869
7/9/2021,72826
7/10/2021,71165
7/11/2021,69486
7/12/2021,75210
7/13/2021,78370
7/14/2021,75143
7/15/2021,71617
7/16/2021,78844
7/17/2021,75501
7/18/2021,71341
7/19/2021,80808
7/20/2021,78462
7/21/2021,82149
7/22/2021,79429
7/23/2021,83418
7/24/2021,78017
7/25/2021,75744
7/26/2021,82323
7/27/2021,82722
7/28/2021,83111
7/29/2021,79628
7/30/2021,85321
7/31/2021,85193
8/1/2021,80324
8/2/2021,85578
8/3/2021,87049
8/4/2021,87736
8/5/2021,86632
8/6/2021,88348
8/7/2021,87455
8/8/2021,83521
8/9/2021,87844
8/10/2021,90330
8/11/2021,89568
8/12/2021,90851
8/13/2021,90563
8/14/2021,89076
8/15/2021,85698
8/16/2021,89571
8/17/2021,91051
8/18/2021,92004
8/19/2021,91514
8/20/2021,92220
8/21/2021,91546
8/22/2021,89958
8/23/2021,92558
8/24/2021,93067
8/25/2021,92833
8/26/2021,92597
8/27/2021,92995
8/28/2021,92947
8/29/2021,90139
8/30/2021,93951
8/31/2021,93633
9/1/2021,93886
9/2/2021,93732
9/3/2021,93791
9/4/2021,93487
9/5/2021,93183
9/6/2021,94131
9/7/2021,93851
9/8/2021,94570
9/9/2021,94130
9/10/2021,93309
9/11/2021,94323
9/12/2021,93678
9/13/2021,94704
9/14/2021,94348
9/15/2021,94940
9/16/2021,94191
9/17/2021,94449
9/18/2021,94264
9/19/2021,94160
9/20/2021,94900
9/21/2021,95229
9/22/2021,94745
9/23/2021,95477
9/24/2021,94926
9/25/2021,94743
9/26/2021,93951
9/27/2021,95527
9/28/2021,95484
9/29/2021,95820
9/30/2021,95754
10/1/2021,95149
10/2/2021,95344
10/3/2021,95118
10/4/2021,95846
10/5/2021,96004
10/6/2021,96129
10/7/2021,96170
10/8/2021,95981
10/9/2021,95959
10/10/2021,96018
10/11/2021,96411
10/12/2021,96460
10/13/2021,96836
10/14/2021,96784
10/15/2021,97078
10/16/2021,96770
10/17/2021,96417
10/18/2021,97349
10/19/2021,97550
10/20/2021,97751
10/21/2021,97767
10/22/2021,98116
10/23/2021,97884
10/24/2021,97660
10/25/2021,98572
10/26/2021,98764
10/27/2021,98970
10/28/2021,99102
10/29/2021,99401
10/30/2021,99325
10/31/2021,99408
11/1/2021,99804
11/2/2021,100261
11/3/2021,100558
11/4/2021,100831
11/5/2021,101135
11/6/2021,101077
11/7/2021,101248
11/8/2021,101857
11/9/2021,102050
11/10/2021,102561
11/11/2021,102656
11/12/2021,102849
11/13/2021,102801
11/14/2021,103320
11/15/2021,104244
11/16/2021,104715
11/17/2021,105144
11/18/2021,105641
11/19/2021,106108
11/20/2021,105758
11/21/2021,106102
11/22/2021,107162
11/23/2021,107674
11/24/2021,108163
11/25/2021,108623
11/26/2021,109071
11/27/2021,108560
11/28/2021,108754
11/29/2021,110093
11/30/2021,110559
12/1/2021,111038
12/2/2021,111471
12/3/2021,111921
12/4/2021,111469
12/5/2021,111702
12/6/2021,112923
12/7/2021,113304
12/8/2021,113705
12/9/2021,114054
12/10/2021,114434
12/11/2021,113608
12/12/2021,112862
12/13/2021,115167
12/14/2021,115534
12/15/2021,115872
12/16/2021,116156
12/17/2021,116404
12/18/2021,115543
12/19/2021,115347
12/20/2021,116987
12/21/2021,117243
12/22/2021,117474
12/23/2021,117659
12/24/2021,116826
12/25/2021,117223
12/26/2021,116614
12/27/2021,117766
12/28/2021,118381
12/29/2021,118541
12/30/2021,118703
12/31/2021,118466
1/1/2022,117310
1/2/2022,117631
1/3/2022,119113
1/4/2022,119286
1/5/2022,119431
1/6/2022,119531
1/7/2022,119302
1/8/2022,119044
1/9/2022,118169
1/10/2022,119887
1/11/2022,119995
1/12/2022,120109
1/13/2022,120200
1/14/2022,120163
1/15/2022,119985
1/16/2022,117300
1/17/2022,120598
1/18/2022,120738
1/19/2022,120865
1/20/2022,121011
1/21/2022,120997
1/22/2022,120501
1/23/2022,119496
1/24/2022,121510
1/25/2022,121703
1/26/2022,121890
1/27/2022,122066
1/28/2022,122251
1/29/2022,121464
1/30/2022,119387
1/31/2022,122718
2/1/2022,122973
2/2/2022,123241
2/3/2022,123488
2/4/2022,123740
2/5/2022,122380
2/6/2022,121789
2/7/2022,124324
2/8/2022,124627
2/9/2022,124902
2/10/2022,125183
2/11/2022,125448
2/12/2022,124568
2/13/2022,123344
2/14/2022,126039
2/15/2022,126361
2/16/2022,126673
2/17/2022,126998
2/18/2022,127234
2/19/2022,126444
2/20/2022,123821
2/21/2022,127812
2/22/2022,128098
2/23/2022,128384
2/24/2022,128650
2/25/2022,128899
2/26/2022,127052
2/27/2022,123892
2/28/2022,129096
3/1/2022,129677
3/2/2022,129963
3/3/2022,130232
3/4/2022,130488
3/5/2022,128574
3/6/2022,127061
3/7/2022,131077
3/8/2022,131367
3/9/2022,131687
3/10/2022,131973
3/11/2022,132278
3/12/2022,130277
3/13/2022,127121
3/14/2022,132872
3/15/2022,133210
3/16/2022,133552
3/17/2022,133894
3/18/2022,134208
3/19/2022,131519
3/20/2022,129570
3/21/2022,134836
3/22/2022,135180
3/23/2022,135501
3/24/2022,135796
3/25/2022,136095
3/26/2022,131028
3/27/2022,128549
3/28/2022,136674
3/29/2022,136945
3/30/2022,137224
3/31/2022,137481
4/1/2022,137718
4/2/2022,130081
4/3/2022,127222
4/4/2022,138150
4/5/2022,138386
4/6/2022,138622
4/7/2022,138833
4/8/2022,139000
4/9/2022,131083
4/10/2022,124919
4/11/2022,139369
4/12/2022,139571
4/13/2022,139752
4/14/2022,139931
4/15/2022,125232
4/16/2022,128495
4/17/2022,121528
4/18/2022,124736
4/19/2022,140438
4/20/2022,140611
4/21/2022,140756
4/22/2022,140878
4/23/2022,127661
4/24/2022,123808
4/25/2022,141127
4/26/2022,141246
4/27/2022,141366
4/28/2022,141480
4/29/2022,141554
4/30/2022,128274
5/1/2022,120318
5/2/2022,141751
5/3/2022,141860
5/4/2022,141955
5/5/2022,142043
5/6/2022,142104
5/7/2022,124837
5/8/2022,120869
5/9/2022,142250
5/10/2022,142335
5/11/2022,142407
5/12/2022,142156
5/13/2022,142530
5/14/2022,124173
5/15/2022,122383
5/16/2022,142332
5/17/2022,142717
5/18/2022,142773
5/19/2022,142281
5/20/2022,142536
5/21/2022,120302
5/22/2022,115276
5/23/2022,142964
5/24/2022,143013
5/25/2022,143045
5/26/2022,114386
5/27/2022,140078
5/28/2022,118946
5/29/2022,118345
5/30/2022,143150
5/31/2022,143195
6/1/2022,142922
6/2/2022,142954
6/3/2022,142871
6/4/2022,119786
6/5/2022,116622
6/6/2022,119442
6/7/2022,143426
6/8/2022,143363
6/9/2022,143535
6/10/2022,143592
6/11/2022,123892
6/12/2022,122341
6/13/2022,143408
6/14/2022,143804
6/15/2022,143874
6/16/2022,128034
6/17/2022,143684
6/18/2022,121403
6/19/2022,123164
6/20/2022,144174
6/21/2022,144268
6/22/2022,144003
6/23/2022,144126
6/24/2022,144340
6/25/2022,123272
6/26/2022,124926
6/27/2022,144576
6/28/2022,144880
6/29/2022,144984
6/30/2022,144764
7/1/2022,144413
7/2/2022,126772
7/3/2022,125550
7/4/2022,145391
7/5/2022,145507
7/6/2022,145639
7/7/2022,145743
7/8/2022,145842
7/9/2022,125367
7/10/2022,127079
7/11/2022,146178
7/12/2022,146370
7/13/2022,146529
7/14/2022,146705
7/15/2022,146858
7/16/2022,125157
7/17/2022,125471
7/18/2022,147182
7/19/2022,147186
7/20/2022,147366
7/21/2022,147819
7/22/2022,147983
7/23/2022,124686
7/24/2022,123429
7/25/2022,148143
7/26/2022,148553
7/27/2022,148727
7/28/2022,148885
7/29/2022,149026
7/30/2022,127070
7/31/2022,124005
8/1/2022,149313
8/2/2022,149448
8/3/2022,149579
8/4/2022,149709
8/5/2022,149819
8/6/2022,124311
8/7/2022,122699
8/8/2022,150027
8/9/2022,150134
8/10/2022,149701
8/11/2022,150029
8/12/2022,150278
8/13/2022,125942
8/14/2022,126559
8/15/2022,147645
8/16/2022,150767
8/17/2022,150879
8/18/2022,150968
8/19/2022,151030
8/20/2022,123474
8/21/2022,122836
8/22/2022,151178
8/23/2022,151256
8/24/2022,151322
8/25/2022,151374
8/26/2022,151430
8/27/2022,125679
8/28/2022,123666
8/29/2022,151357
8/30/2022,151618
8/31/2022,151507
9/1/2022,151725
9/2/2022,151769
9/3/2022,123818
9/4/2022,121846
9/5/2022,151910
9/6/2022,151969
9/7/2022,152009
9/8/2022,152063
9/9/2022,152114
9/10/2022,125620
9/11/2022,127731
9/12/2022,152242
9/13/2022,152303
9/14/2022,152369
9/15/2022,152419
